,Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
85,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",9,6,0.965,0.9642052030027072,0.965,0.9683229813664598
86,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",9,7,0.96,0.9598400315986966,0.96,0.9609022556390976
87,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",9,8,0.975,0.9749467477323704,0.975,0.9760461760461762
88,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",9,9,0.97,0.969576379974326,0.97,0.9698412698412696
89,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",9,10,0.9,0.8971605363610619,0.9,0.8986968700523686
90,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",10,1,0.925,0.9226945328536516,0.925,0.9259048283344958
91,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",10,2,0.96,0.9598503528991336,0.96,0.9606208703577124
92,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",10,3,0.995,0.9949968730456537,0.995,0.9952380952380953
93,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",10,4,0.95,0.94931103556264,0.95,0.9497478544846966
94,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",10,5,0.955,0.9533875338753388,0.955,0.9541666666666668
95,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",10,6,0.96,0.9596696795656404,0.96,0.9608454106280192
96,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",10,7,0.975,0.974523652572433,0.975,0.9757193786605552
97,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",10,8,0.965,0.9648587933247754,0.965,0.9654761904761904
98,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",10,9,0.985,0.9849151477058454,0.985,0.9869565217391304
99,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",10,10,0.945,0.943907611430076,0.945,0.9446001367053998
100,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",11,1,0.97,0.9698585795097424,0.97,0.9717263427109972
101,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",11,2,0.96,0.9594351732991012,0.96,0.9595238095238096
102,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",11,3,0.985,0.984865540963102,0.985,0.9852130325814537
103,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",11,4,0.96,0.9597086524942752,0.96,0.9605916305916306
104,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",11,5,0.97,0.9694133157547792,0.97,0.9703081232492996
105,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",11,6,0.955,0.9554820156411344,0.955,0.9602408354646208
106,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",11,7,0.945,0.9441146735049176,0.945,0.9450717033224774
107,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",11,8,0.935,0.9309597637504616,0.935,0.9342671277997364
108,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",11,9,0.95,0.9486598767086571,0.95,0.950471348826612
109,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",11,10,0.92,0.91914431952301,0.92,0.9198272195640615
110,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",12,1,0.97,0.9692882375809204,0.97,0.9703081232492998
111,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",12,2,0.96,0.958931475029036,0.96,0.960589826839827
112,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",12,3,0.96,0.9596091307066916,0.96,0.95968671679198
113,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",12,4,0.98,0.9799807445442876,0.98,0.9807142857142856
114,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",12,5,0.945,0.9437825332562176,0.945,0.9440988835725678
115,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",12,6,0.98,0.9799686834346653,0.98,0.9813852813852816
116,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",12,7,0.96,0.9585772357723578,0.96,0.959702380952381
117,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",12,8,0.975,0.974965556480319,0.975,0.9761221234905446
118,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",12,9,0.96,0.959469993358252,0.96,0.962432712215321
119,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",12,10,0.92,0.9187748451804936,0.92,0.9188455988455988
120,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",13,1,0.96,0.9592245153220764,0.96,0.9588972431077694
121,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",13,2,0.945,0.9445508706099208,0.945,0.9452380952380952
122,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",13,3,0.97,0.9698655409631018,0.97,0.9702130325814536
123,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",13,4,0.985,0.9849906191369604,0.985,0.9852130325814537
124,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",13,5,0.975,0.9747373358348967,0.975,0.9749498746867168
125,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",13,6,0.955,0.9543771324259128,0.955,0.9561021537801724
126,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",13,7,0.955,0.9531285957377846,0.955,0.9554037267080746
127,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",13,8,0.965,0.9638594927477514,0.965,0.967432712215321
128,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",13,9,0.965,0.96447779862414,0.965,0.9646616541353384
129,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",13,10,0.88,0.8763291132588118,0.88,0.8776190476190474
130,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",14,1,0.97,0.9698503528991332,0.97,0.9706208703577126
131,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",14,2,0.95,0.948474746523527,0.95,0.9485001273236568
132,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",14,3,0.93,0.9288538335049964,0.93,0.9323893974065598
133,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",14,4,0.965,0.9650478822430044,0.965,0.967077922077922
134,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",14,5,0.95,0.9453685443850668,0.95,0.9562229437229438
135,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",14,6,0.985,0.9846909627397432,0.985,0.986147186147186
136,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",14,7,0.985,0.9849906191369604,0.985,0.9852130325814537
137,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",14,8,0.975,0.9749088937971524,0.975,0.977432712215321
138,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",14,9,0.96,0.95920114545275,0.96,0.9593400167084378
139,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",14,10,0.925,0.9232945669196676,0.925,0.924230097836236
140,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",15,1,0.965,0.9645263328190156,0.965,0.9659791189202952
141,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",15,2,0.975,0.9749968730456536,0.975,0.9752380952380952
142,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",15,3,0.95,0.9483844069209922,0.95,0.949404761904762
