Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
KNN,mfeat_fou,1,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,1,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,1,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,1,10,0.87,0.870278547715333,0.87,0.8722912353347135
KNN,mfeat_fou,2,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,2,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,2,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,2,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,2,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,2,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,2,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,2,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,2,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,2,10,0.89,0.8885163346138957,0.89,0.8912130325814536
KNN,mfeat_fou,3,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,3,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,3,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,3,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,3,5,1.0,1.0,1.0,1.0
KNN,mfeat_fou,3,6,1.0,1.0,1.0,1.0
KNN,mfeat_fou,3,7,1.0,1.0,1.0,1.0
KNN,mfeat_fou,3,8,1.0,1.0,1.0,1.0
KNN,mfeat_fou,3,9,1.0,1.0,1.0,1.0
KNN,mfeat_fou,3,10,0.855,0.8546977277465082,0.855,0.8571854636591479
KNN,mfeat_fou,4,1,1.0,1.0,1.0,1.0
KNN,mfeat_fou,4,2,1.0,1.0,1.0,1.0
KNN,mfeat_fou,4,3,1.0,1.0,1.0,1.0
KNN,mfeat_fou,4,4,1.0,1.0,1.0,1.0
KNN,mfeat_fou,4,5,1.0,1.0,1.0,1.0
